ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,387,1975
Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,382,1965
Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,Living Characters,382,1977
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,380,1975
Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,376,1941
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,375,1965
Secret Identity,Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Living Characters,374,1967
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,373,1940
Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,373,1963
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,373,1976
Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,371,1965
Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters,371,1978
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,368,1971
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,361,1970
Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,353,1980
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,346,1986
Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,342,1972
Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,340,1975
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,338,1963
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,332,1966
Public Identity,Bad Characters,,Blond Hair,Female Characters,Living Characters,332,1979
Public Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,329,1965
Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Living Characters,323,1973
Public Identity,,Blue Eyes,Blond Hair,Female Characters,Living Characters,321,1945
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,320,1984
Public Identity,Neutral Characters,Black Eyes,Blond Hair,Male Characters,Living Characters,318,1986
Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,317,1964
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,316,1985
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,313,1979
Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,311,1990
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,310,1992
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,293,1988
Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,290,1975
